typ,question,response,gold_answers,BERT_precision,BERT_recall,BERT_F1,BLEURT-Score,ragas_answer_correctness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,llm_accuracy,llm_relevance,llm_completeness,llm_overall
RAG,Which arithmetic operations does Python have?,"Python has arithmetic operations such as addition (+), subtraction (-), multiplication (*), division (/), floor division (//), modulo (%), and exponentiation (**).","addition (+), subtraction (-), multiplication (*), division (/), floor division (//), modulo operation (%), ** operator for exponentiation.",0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.7286065209481608,0.9829858182609265,0.99999999995,0.7142857142857143,0.8571428571428571,0.9,1.0,0.9,0.933
RAG,Is JavaScript case-sensitive?,"Yes, JavaScript is case-sensitive. This means that variables, functions, and other identifiers must be typed with the correct capitalization to be recognized by the language.","Yes, Javascript is case-sensitive",0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.23203631986162537,1.0000000000000007,0.0,1.0,1.0,1.0,1.0,0.9,0.9666666666666667
RAG,Does C++ support operator overloading?,"Yes, C++ does support operator overloading. It provides more than 35 operators that can be overloaded for user-defined types, with a few exceptions such as member access and the conditional operator. Overloading operators is a key part of many advanced C++ programming techniques.","Yes, C++ does support operator overloading",0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.23272884696835588,1.0000000000000007,0.94999999997625,1.0,1.0,1.0,1.0,0.9,0.9666666666666667
RAG,Is C faster than Python?,"Yes, C is generally faster than Python due to its lower-level nature and closer relationship with machine code. Python is influenced by C, but C is typically faster in terms of performance. Other languages like Rust and Julia can also be faster than Python in certain scenarios.","Yes, C is generally faster than Python.",0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.6654269339942688,0.9765456920722616,0.3333333333,0.0,0.2,0.9,1.0,0.9,0.93
RAG,Does Java have a stricter type checking than JavaScript,"Yes, Java has static typing, which means that type checking is stricter compared to JavaScript, which is dynamically typed and has weaker type checking.","Yes, Java has a stricter type checking than JavaScript",0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.2388764505580943,0.8992745445038163,0.4777777777618519,1.0,0.0,0.9,1.0,0.9,0.93
RAG,Is Ruby more similar to Perl or Python?,"According to the context provided, Ruby's syntax is broadly similar to both Perl and Python. Class and method definitions are signaled by keywords, and code blocks can be defined by either keywords or braces, similar to Perl and Python. However, the design philosophy of Ruby differs greatly from Python's.",Ruby is more similar to Perl in terms of syntax and some language features.,0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.6571264653712114,0.865389678302729,0.99999999998,1.0,0.25,0.8,0.9,0.8,0.83
RAG,What does the public keyword mean in Java?,"In Java, the public keyword means that the method or property can be accessed from anywhere in the program. It allows for unrestricted access to the declared item.","The public keyword in Java is an access modifier that indicates that the member (such as class, method or variable) is accessible from any other class in any package",0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.23564483589877025,0.9999985118783258,0.499999999975,1.0,0.0,0.8,1.0,0.9,0.9
RAG,What is a goroutine in Go?,"A goroutine in Go is a type of green thread that allows you to start a function in a new concurrent execution. It is the primary concurrency construct in Go and is created using the go keyword before a function call. Goroutines in Go can be used to achieve concurrent programming by enabling multiple functions to run concurrently. They are implemented by multiplexing onto a smaller set of operating-system threads. Goroutines can communicate with each other using channels, which are typed to transfer messages of a specific type. Overall, goroutines in Go provide a powerful way to handle concurrency in a simple and efficient manner.","In Ruby, a function is defined using the def keyword followed by the function name, optional parameters and a block of code. The function is ended with the end keyword.",0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.7972360756091889,0.9522574919557126,0.9999999999,0.0,1.0,0.9,1.0,0.9,0.93
RAG,How do you define a function in Ruby?,"In Ruby, you can define a function using the `def` statement followed by the function name and any parameters it takes. For example: `def my_function(param1, param2)`. You can also use block local variables and an additional lambda syntax like `f = ->(a,b) { puts a + b }`.",A goroutine in Go is a lightweight thread managed by the Go runtime.,0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.17655209766120988,0.9905444810967454,0.0,0.0,1.0,0.2,0.5,0.3,0.33
RAG,Which versions of Java introduced both generic and annotiations?,Java 5.0 introduced both generics and annotations.,Java introduced both generics and annotations in Java 5 (JDK 1.5),0.31388670206069946,0.4459869861602783,0.37653905153274536,0.5768387737097563,0.2407709695650938,0.8470754462343503,0.5833333333041666,1.0,1.0,0.9,1.0,0.9,0.93
