typ,question,response,gold_answers,BERT_precision,BERT_recall,BERT_F1,BLEURT-Score,ragas_answer_correctness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,llm_accuracy,llm_relevance,llm_completeness,llm_overall
GPT,Which arithmetic operations does Python have?,"Python has arithmetic operations such as addition (+), subtraction (-), multiplication (*), division (/), floor division (//), modulo (%), and exponentiation (**).","addition (+), subtraction (-), multiplication (*), division (/), floor division (//), modulo operation (%), ** operator for exponentiation.",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.7286065209481608,0.9829858182609265,0.99999999995,0.7142857142857143,0.8571428571428571,0.9,1.0,0.9,0.933
GPT,Is JavaScript case-sensitive?,"Yes, JavaScript is case-sensitive. This means that variables, function names, and other identifiers must always be typed with the correct capitalization to be recognized correctly by the language.","Yes, Javascript is case-sensitive",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.23118783245419428,1.0000000000000007,0.0,1.0,0.5,1.0,1.0,0.9,0.97
GPT,Does C++ support operator overloading?,"Yes, C++ supports operator overloading. It provides more than 35 operators that can be overloaded for user-defined types. Some notable exceptions that cannot be overloaded include member access (. and .*), the conditional operator, and scope resolution (::).","Yes, C++ does support operator overloading",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.2321957551584136,1.0000000000000007,0.94999999997625,1.0,1.0,0.9,1.0,0.9,0.93
GPT,Is C faster than Python?,"Yes, C is generally faster than Python due to its low-level nature and direct compilation to machine code. Python, being a high-level language, is slower due to its interpreted nature and dynamic typing. However, Python can be optimized for speed using tools like Cython, which compiles Python to C for faster execution. Additionally, languages like Rust, which do not perform garbage collection, can also be faster than Python. Other implementations like PyPy can bring significant speed improvements over CPython as well.","Yes, C is generally faster than Python.",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.83204920024464,0.9765456920722616,0.3333333333,0.0,0.5,0.9,0.9,0.8,0.87
GPT,Does Java have a stricter type checking than JavaScript,"Yes, Java has static typing, which means it has stricter type checking compared to JavaScript, which is dynamically typed and has weaker type checking.","Yes, Java has a stricter type checking than JavaScript",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.23889227222982973,0.8992745445038163,0.4777777777618519,0.0,0.25,0.9,1.0,0.9,0.93
GPT,Is Ruby more similar to Perl or Python?,"Ruby's syntax is broadly similar to both Perl and Python. Class and method definitions are signaled by keywords, and code blocks can be defined by either keywords or braces. However, according to the Ruby FAQ, the syntax is more similar to Perl's, while the semantics are more similar to Smalltalk's.",Ruby is more similar to Perl in terms of syntax and some language features.,0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.5643270824909147,0.8730769642685927,0.99999999998,1.0,0.5,0.8,0.9,0.8,0.83
GPT,What does the public keyword mean in Java?,"In Java, the public keyword means that the class, method, or variable declared with it can be accessed from anywhere in the program. It is the default visibility modifier if no other modifier is specified.","The public keyword in Java is an access modifier that indicates that the member (such as class, method or variable) is accessible from any other class in any package",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.23759105232196873,1.0000000000000002,0.49999999995,1.0,0.0,0.8,1.0,0.9,0.9
GPT,What is a goroutine in Go?,"A goroutine in Go is a type of green thread that allows you to start a function in a new concurrent execution. It is a primary concurrency construct in Go. Goroutines are implemented by the language specification, and they can share channels for communication. Goroutines in Go share a single address space, allowing for shared mutable objects and pointers between them.",A goroutine in Go is a lightweight thread managed by the Go runtime.,0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.6938992766219101,1.0000000000000002,0.8666666666377778,1.0,0.7142857142857143,0.7,0.8,0.7,0.73
GPT,How do you define a function in Ruby?,"In Ruby, you can define a function using the 'def' statement followed by the function name and its parameters. For example, you can define a function like this: def my_function(param1, param2). Additionally, you can also use the lambda syntax to define functions like this: f = ->(a,b) { puts a + b }.","In Ruby, a function is defined using the def keyword followed by the function name, optional parameters and a block of code. The function is ended with the end keyword.",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.44931626843119976,0.9905444810967454,0.9166666666361111,1.0,0.6666666666666666,0.8,0.9,0.8,0.83
GPT,Which versions of Java introduced both generic and annotiations?,Java 5.0 introduced both generics and annotations.,Java introduced both generics and annotations in Java 5 (JDK 1.5),0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.2407709695650938,0.8470754462343503,0.9999999999666667,1.0,1.0,0.9,1.0,0.9,0.93
GPT,Which versions of Python support both f-strings and type hints?,Python versions 3.6 and above support both f-strings and type hints.,Python introduced f-strings and supported type hints in Version 3.6,0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.238065143332063,0.8535053238520369,0.49999999995,0.0,0.5,0.9,1.0,0.9,0.93
GPT,Which versions of C++ support both smart pointers and lambda expressions?,"C++11 and newer versions support both smart pointers and lambda expressions. This includes C++14, C++17, C++20, C++23, and C++26.",C++ introduced smart pointers und lambda expressions in Version C++11,0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.23200522753269825,0.8785715854942442,0.49999999995,1.0,0.7142857142857143,0.5,1.0,0.5,0.67
GPT,What was the first version of Python to introduce the with statement?,Python 2.5 was the first version to introduce the with statement.,The with statement was introduced in Python 2.5.,0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.986165842528174,0.9647247245707229,0.8333333332916666,0.0,0.0,0.75,1.0,0.75,0.83
GPT,In which iteration of the ECMAScript standard was let introduced in JavaScript?,The `let` keyword was introduced in ECMAScript 2015.,"The let keyword was introduced in ECMAScript 6 (ECMAScript 2015, ES6)",0.30907559394836426,0.4783434569835663,0.38995835185050964,0.6008436624650602,0.23869876792483832,0.9057999222014291,0.5888888888692593,0.0,0.0,0.8,1.0,0.8,0.87
