typ,question,response,gold_answers,BERT_precision,BERT_recall,BERT_F1,BLEURT-Score,ragas_answer_correctness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall,ragas_faithfulness,llm_accuracy,llm_relevance,llm_completeness,llm_overall
faiss,Which arithmetic operations does Python have?,"Python has the usual symbols for arithmetic operators (+, -, *, /), the floor division operator //, modulo operation %, and ** for exponentiation.","addition (+), subtraction (-), multiplication (*), division (/), floor division (//), modulo operation (%), ** operator for exponentiation.",0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.49883382552859445,0.9286999757877114,0.99999999995,0.7142857142857143,1.0,0.9,1.0,0.9,0.93
faiss,Is JavaScript case-sensitive?,"Yes, JavaScript is case-sensitive. This means that variables, functions, and other identifiers must be typed with the correct capitalization to be recognized by the language.","Yes, Javascript is case-sensitive",0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.23203631986162537,1.0000000000000007,0.0,1.0,1.0,1.0,1.0,0.9,0.97
faiss,Does C++ support operator overloading?,"Yes, C++ supports operator overloading for user-defined types, with a few exceptions such as member access and the conditional operator.","Yes, C++ does support operator overloading",0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.23427029695918267,0.9507755939412151,0.94999999997625,1.0,1.0,0.9,1.0,0.9,0.93
faiss,Is C faster than Python?,"Yes, C is generally faster than Python due to its lower-level nature and direct hardware access. Python's influence from C is significant, and tools like Cython can compile Python code to C for performance improvements. PyPy, another implementation of Python, can sometimes be faster than CPython due to its just-in-time compiler.","Yes, C is generally faster than Python.",0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.609711278818213,0.9765456920722616,0.3333333333,0.0,0.5,0.9,0.9,0.8,0.87
faiss,Does Java have a stricter type checking than JavaScript,"Yes, Java has stricter type checking compared to JavaScript. In Java, type checking is done at compile time, while in JavaScript, it is done at runtime. Java is a statically typed language, meaning variables must be declared with a specific data type, whereas JavaScript is dynamically typed, allowing for more flexibility with variable types.","Yes, Java has a stricter type checking than JavaScript",0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.23334507192821058,0.9521104887153107,0.4777777777618519,0.0,0.14285714285714285,1.0,1.0,1.0,1.0
faiss,Is Ruby more similar to Perl or Python?,"Ruby is more similar to Perl in terms of syntax, but its semantics are more similar to Smalltalk. The design philosophy of Ruby differs greatly from Python's.",Ruby is more similar to Perl in terms of syntax and some language features.,0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.5365765174625209,0.9327217181567535,0.99999999998,1.0,1.0,0.7,0.8,0.7,0.73
faiss,What does the public keyword mean in Java?,"In Java, the public keyword means that the property or method can be accessed from anywhere in the program. It is the default visibility level if no other keyword is specified.","The public keyword in Java is an access modifier that indicates that the member (such as class, method or variable) is accessible from any other class in any package",0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.23310547195503867,1.0000000000000002,0.99999999995,1.0,0.5,0.8,1.0,0.9,0.9
faiss,What is a goroutine in Go?,"A goroutine in Go is a type of green thread that allows you to start a function in a new concurrent execution. Goroutines in Go share a single address space, allowing mutable objects and pointers to be shared between them. Goroutines are implemented by multiplexing onto a smaller set of operating-system threads. They are a primary concurrency construct in Go, allowing for non-blocking communication via channels.",A goroutine in Go is a lightweight thread managed by the Go runtime.,0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.7329216398929127,1.0000000000000002,0.94999999997625,1.0,1.0,0.8,0.9,0.7,0.8
faiss,How do you define a function in Ruby?,"In Ruby, you can define a function using the 'def' statement. This statement is used to define a function or method in the Ruby programming language. Additionally, you can also use block local variables and an additional lambda syntax like f = ->(a,b) { puts a + b } to define functions in Ruby.","In Ruby, a function is defined using the def keyword followed by the function name, optional parameters and a block of code. The function is ended with the end keyword.",0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.5686953212993859,0.9905444810967454,0.9166666666361111,1.0,0.5,0.8,0.9,0.8,0.83
faiss,Which versions of Java introduced both generic and annotiations?,Java 5.0 introduced both generics and annotations.,Java introduced both generics and annotations in Java 5 (JDK 1.5),0.3040693998336792,0.46733397245407104,0.38184571266174316,0.5867329725512752,0.2407709695650938,0.8470754462343503,0.5833333333041666,1.0,1.0,0.9,1.0,0.9,0.93
